Season,Date,Garden,Acc_FGDD,Variety,Early Tassel Development,Tassel Development,Tasseling,Silk Development,Silking,Ear Development
2009,2009-06-12,CDG,164.88000000000005,Hopi Blue,0,0,0,0,0,0
2009,2009-06-19,CDG,260.91,Hopi Blue,0,0,0,0,0,0
2009,2009-06-26,CDG,393.93,Hopi Blue,0,0,0,0,0,0
2009,2009-07-03,CDG,533.97,Hopi Blue,0,0,0,0,0,0
2009,2009-07-10,CDG,672.48,Hopi Blue,0,0,0,0,0,0
2009,2009-07-17,CDG,821.97,Hopi Blue,0,0,0,0,0,0
2009,2009-07-24,CDG,976.8600000000001,Hopi Blue,0.2571428571428571,0.14285714285714285,0,0,0,0
2009,2009-07-31,CDG,1124.8200000000002,Hopi Blue,0.5428571428571428,0.2571428571428571,0.02857142857142857,0.02857142857142857,0,0
2009,2009-08-06,CDG,1252.8000000000002,Hopi Blue,0.7142857142857143,0.45714285714285713,0.34285714285714286,0.2857142857142857,0.11428571428571428,0
2009,2009-08-14,CDG,1406.88,Hopi Blue,0.7428571428571429,0.6,0.5142857142857142,0.4,0.34285714285714286,0.02857142857142857
2009,2009-08-24,CDG,1599.7500000000002,Hopi Blue,0.7714285714285715,0.7142857142857143,0.6857142857142857,0.5142857142857142,0.42857142857142855,0.34285714285714286
2009,2009-08-28,CDG,1667.3850000000002,Hopi Blue,0.7714285714285715,0.7142857142857143,0.7142857142857143,0.5428571428571428,0.4857142857142857,0.42857142857142855
2009,2009-09-04,CDG,1811.9700000000003,Hopi Blue,0.8571428571428571,0.7428571428571429,0.7428571428571429,0.6,0.5428571428571428,0.4857142857142857
2009,2009-09-11,CDG,1939.5000000000002,Hopi Blue,0.8571428571428571,0.7714285714285715,0.7428571428571429,0.6571428571428571,0.6285714285714286,0.5142857142857142
2009,2009-09-18,CDG,2046.69,Hopi Blue,0.8571428571428571,0.8571428571428571,0.7428571428571429,0.6857142857142857,0.6285714285714286,0.5428571428571428
2009,2009-09-25,CDG,2123.6400000000003,Hopi Blue,0.8571428571428571,0.8571428571428571,0.7428571428571429,0.6857142857142857,0.6285714285714286,0.5428571428571428
2010,2010-06-11,CDG,351.5400000000001,Hopi White,0,0,0,0,0,0
2010,2010-06-18,CDG,444.6900000000001,Hopi White,0,0,0,0,0,0
2010,2010-06-25,CDG,573.6600000000001,Hopi White,0,0,0,0,0,0
2010,2010-07-02,CDG,727.74,Hopi White,0,0,0,0,0,0
2010,2010-07-09,CDG,866.7,Hopi White,0,0,0,0,0,0
2010,2010-07-15,CDG,991.71,Hopi White,0,0,0,0,0,0
2010,2010-07-23,CDG,1173.4199999999998,Hopi White,0.5384615384615384,0.15384615384615385,0,0,0,0
2010,2010-07-30,CDG,1331.37,Hopi White,1,0.8846153846153846,0.4230769230769231,0.4230769230769231,0.038461538461538464,0
2010,2010-08-05,CDG,1457.28,Hopi White,1,1,1,1,0.46153846153846156,0
2010,2010-08-12,CDG,1593.18,Hopi White,1,1,1,1,1,0
2010,2010-08-20,CDG,1753.5600000000002,Hopi White,1,1,1,1,1,0.6538461538461539
2010,2010-08-26,CDG,1872.9000000000003,Hopi White,1,1,1,1,1,1
2010,2010-09-09,CDG,2114.5500000000006,Hopi White,1,1,1,1,1,1
2010,2010-09-16,CDG,2221.560000000001,Hopi White,1,1,1,1,1,1
2011,2011-06-14,CDG,357.0300000000001,Hopi White,0,0,0,0,0,0
2011,2011-06-23,CDG,508.14000000000016,Hopi White,0,0,0,0,0,0
2011,2011-07-01,CDG,672.6600000000001,Hopi White,0,0,0,0,0,0
2011,2011-07-08,CDG,837.72,Hopi White,0,0,0,0,0,0
2011,2011-07-14,CDG,967.77,Hopi White,0,0,0,0,0,0
2011,2011-07-21,CDG,1125.72,Hopi White,0.038461538461538464,0,0,0,0,0
2011,2011-07-28,CDG,1276.74,Hopi White,0.5384615384615384,0.3076923076923077,0,0,0,0
2011,2011-08-04,CDG,1433.7,Hopi White,0.7307692307692307,0.6153846153846154,0.3076923076923077,0.2692307692307692,0.11538461538461539,0
2011,2011-08-11,CDG,1573.2,Hopi White,0.7307692307692307,0.6923076923076923,0.5769230769230769,0.38461538461538464,0.3076923076923077,0
2011,2011-08-18,CDG,1723.68,Hopi White,0.7692307692307693,0.7307692307692307,0.6923076923076923,0.5769230769230769,0.5769230769230769,0
2011,2011-08-25,CDG,1874.16,Hopi White,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6538461538461539,0.6153846153846154,0.23076923076923078
2011,2011-09-02,CDG,2047.5900000000001,Hopi White,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6538461538461539,0.6538461538461539,0.5
2011,2011-09-08,CDG,2160.1800000000007,Hopi White,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.5769230769230769
2011,2011-09-16,CDG,2263.230000000001,Hopi White,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.5769230769230769
2011,2011-09-22,CDG,2340.1800000000007,Hopi White,0.7692307692307693,0.7307692307692307,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.5769230769230769
2012,2012-06-13,CDG,453.78,Hopi White,0,0,0,0,0,0
2012,2012-06-21,CDG,599.31,Hopi White,0,0,0,0,0,0
2012,2012-06-29,CDG,782.8199999999999,Hopi White,0,0,0,0,0,0
2012,2012-07-07,CDG,960.3899999999999,Hopi White,0,0,0,0,0,0
2012,2012-07-12,CDG,1068.3899999999999,Hopi White,0,0,0,0,0,0
2012,2012-07-19,CDG,1224.36,Hopi White,0,0,0,0,0,0
2012,2012-07-25,CDG,1360.8,Hopi White,0,0,0,0,0,0
2012,2012-08-02,CDG,1544.31,Hopi White,0,0,0,0,0,0
2012,2012-08-09,CDG,1698.3,Hopi White,0,0,0,0,0,0
2012,2012-08-17,CDG,1873.8,Hopi White,0,0,0,0,0,0
2012,2012-08-24,CDG,2017.8,Hopi White,0,0,0,0,0,0
2012,2012-08-31,CDG,2172.3300000000004,Hopi White,0,0,0,0,0,0
2012,2012-09-13,CDG,2415.780000000001,Hopi White,0,0,0,0,0,0
2012,2012-09-19,CDG,2508.2100000000014,Hopi White,0,0,0,0,0,0
2012,2012-09-27,CDG,2627.1900000000014,Hopi White,0.047619047619047616,0.047619047619047616,0,0,0,0
2012,2012-10-05,CDG,2745.270000000001,Hopi White,0.047619047619047616,0.047619047619047616,0.047619047619047616,0,0,0
2013,2013-06-04,CDG,194.94000000000003,Hopi White,0,0,0,0,0,0
2013,2013-06-14,CDG,387.0000000000001,Hopi White,0,0,0,0,0,0
2013,2013-06-19,CDG,479.52000000000015,Hopi White,0,0,0,0,0,0
2013,2013-06-28,CDG,650.1600000000001,Hopi White,0,0,0,0,0,0
2013,2013-07-05,CDG,814.77,Hopi White,0,0,0,0,0,0
2013,2013-07-11,CDG,958.3199999999999,Hopi White,0,0,0,0,0,0
2013,2013-07-18,CDG,1123.3799999999999,Hopi White,0,0,0,0,0,0
2013,2013-07-26,CDG,1308.4199999999998,Hopi White,0.2222222222222222,0.14814814814814814,0,0,0,0
2013,2013-08-01,CDG,1443.9599999999998,Hopi White,0.4444444444444444,0.37037037037037035,0.1111111111111111,0,0,0
2013,2013-08-08,CDG,1596.0599999999997,Hopi White,0.6296296296296297,0.5555555555555556,0.37037037037037035,0.37037037037037035,0.2222222222222222,0
2013,2013-08-15,CDG,1725.0299999999997,Hopi White,0.6666666666666666,0.6296296296296297,0.5555555555555556,0.4074074074074074,0.37037037037037035,0
2013,2013-08-22,CDG,1875.4199999999998,Hopi White,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.4074074074074074,0
2013,2013-08-30,CDG,2042.4599999999998,Hopi White,0.7777777777777778,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.6296296296296297,0.2222222222222222
2013,2013-09-06,CDG,2200.5,Hopi White,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7777777777777778,0.6666666666666666,0.4074074074074074
2013,2013-09-18,CDG,2405.5199999999995,Hopi White,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7777777777777778,0.5925925925925926
2013,2013-09-27,CDG,2526.12,Hopi White,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7037037037037037
2014,2014-06-12,CDG,337.32000000000005,Hopi White,0,0,0,0,0,0
2014,2014-06-19,CDG,460.80000000000007,Hopi White,0,0,0,0,0,0
2014,2014-06-26,CDG,587.88,Hopi White,0,0,0,0,0,0
2014,2014-07-04,CDG,753.3000000000001,Hopi White,0,0,0,0,0,0
2014,2014-07-11,CDG,905.85,Hopi White,0,0,0,0,0,0
