Season,Garden,Variety,Clump,Ear,Condition,Rows,Ear weight,Cob weight,Kernel weight
2009,CDG,Hopi Blue,3,1,Partial,14,29.8,7,22.8
2009,CDG,Hopi Blue,3,2,Partial,12,13.8,4.9,8.9
2009,CDG,Hopi Blue,3,3,Immature,NA,1.7,1.7,0
2009,CDG,Hopi Blue,8,1,Sparse,8,7.5,4,3.5
2009,CDG,Hopi Blue,8,2,Immature,NA,0.9,0.9,0
2009,CDG,Hopi Blue,9,1,Full,12,84.7,26.9,57.8
2009,CDG,Hopi Blue,9,2,Full,10,53,7.8,45.2
2009,CDG,Hopi Blue,9,3,Immature,NA,0.7,0.7,0
2009,CDG,Hopi Blue,9,4,Immature,NA,0.9,0.9,0
2009,CDG,Hopi Blue,10,1,Full,12,98.6,24.4,74.19999999999999
2009,CDG,Hopi Blue,10,2,Sparse,12,13.9,9.7,4.200000000000001
2009,CDG,Hopi Blue,10,3,Immature,NA,1.4,1.4,0
2009,CDG,Hopi Blue,10,4,Sparse,10,4.4,2.9,1.5000000000000004
2009,CDG,Hopi Blue,13,1,Partial,12,66.9,19.9,47.00000000000001
2009,CDG,Hopi Blue,13,2,Sparse,8,4.6,3.2,1.3999999999999997
2009,CDG,Hopi Blue,13,3,Sparse,10,4.3,4.1,0.20000000000000015
2009,CDG,Hopi Blue,14,1,Partial,12,64.8,17,47.8
2009,CDG,Hopi Blue,15,1,Immature,NA,1.5,1.5,0
2009,CDG,Hopi Blue,15,2,Immature,NA,0.1,0.1,0
2009,CDG,Hopi Blue,16,1,Sparse,12,4,3.9,0.10000000000000007
2009,CDG,Hopi Blue,16,2,Sparse,10,3.2,3.1,0.10000000000000007
2009,CDG,Hopi Blue,17,1,Full,14,118.2,23.3,94.9
2009,CDG,Hopi Blue,17,2,Partial,10,26.1,7.2,18.9
2009,CDG,Hopi Blue,17,3,Partial,13,34.8,13.6,21.199999999999996
2009,CDG,Hopi Blue,17,4,Partial,12,33.9,9.5,24.4
2009,CDG,Hopi Blue,17,5,Sparse,10,14.2,5.8,8.399999999999999
2009,CDG,Hopi Blue,18,1,Immature,NA,1.4,1.4,0
2009,CDG,Hopi Blue,18,2,Immature,NA,0.4,0.4,0
2009,CDG,Hopi Blue,19,1,Full,12,86.8,30.4,56.4
2009,CDG,Hopi Blue,19,2,Full,14,93.9,23,70.9
2009,CDG,Hopi Blue,19,3,Full,12,91.7,20,71.7
2009,CDG,Hopi Blue,19,4,Full,14,134.2,27.1,107.1
2009,CDG,Hopi Blue,19,5,Partial,12,41.8,13.2,28.6
2009,CDG,Hopi Blue,19,6,Sparse,12,13.9,6.5,7.4
2009,CDG,Hopi Blue,19,7,Immature,NA,0.4,0.4,0
2009,CDG,Hopi Blue,22,1,Partial,14,50.7,19.4,31.300000000000004
2009,CDG,Hopi Blue,22,2,Partial,10,33.7,19.8,13.900000000000002
2009,CDG,Hopi Blue,22,3,Immature,NA,0.3,0.3,0
2009,CDG,Hopi Blue,22,4,Immature,NA,0.6,0.6,0
2009,CDG,Hopi Blue,23,1,Full,14,86.8,21.3,65.5
2009,CDG,Hopi Blue,23,2,Full,14,68.2,18.1,50.1
2009,CDG,Hopi Blue,23,3,Full,16,133.5,24.6,108.9
2009,CDG,Hopi Blue,23,4,Full,16,129.4,24.5,104.9
