Season,Garden,Variety,Clumps,Spacing (m),Clump,Net kernel weight (g),PFP experimental yield (kg/ha)
2009,CDG,Hopi Blue,35,1.6,1,0,0
2009,CDG,Hopi Blue,35,1.6,2,0,0
2009,CDG,Hopi Blue,35,1.6,3,31.700000000000003,79.25
2009,CDG,Hopi Blue,35,1.6,4,0,0
2009,CDG,Hopi Blue,35,1.6,5,0,0
2009,CDG,Hopi Blue,35,1.6,6,0,0
2009,CDG,Hopi Blue,35,1.6,7,0,0
2009,CDG,Hopi Blue,35,1.6,8,3.5,8.75
2009,CDG,Hopi Blue,35,1.6,9,103,257.5
2009,CDG,Hopi Blue,35,1.6,10,79.89999999999999,199.74999999999997
2009,CDG,Hopi Blue,35,1.6,11,0,0
2009,CDG,Hopi Blue,35,1.6,12,0,0
2009,CDG,Hopi Blue,35,1.6,13,48.60000000000001,121.50000000000001
2009,CDG,Hopi Blue,35,1.6,14,47.8,119.5
2009,CDG,Hopi Blue,35,1.6,15,0,0
2009,CDG,Hopi Blue,35,1.6,16,0.20000000000000018,0.5000000000000004
2009,CDG,Hopi Blue,35,1.6,17,167.8,419.5
2009,CDG,Hopi Blue,35,1.6,18,0,0
2009,CDG,Hopi Blue,35,1.6,19,342.1,855.25
2009,CDG,Hopi Blue,35,1.6,20,0,0
2009,CDG,Hopi Blue,35,1.6,21,0,0
2009,CDG,Hopi Blue,35,1.6,22,45.2,113
2009,CDG,Hopi Blue,35,1.6,23,347,867.5
2009,CDG,Hopi Blue,35,1.6,24,24.6,61.5
2009,CDG,Hopi Blue,35,1.6,25,71.1,177.75
2009,CDG,Hopi Blue,35,1.6,26,107.3,268.25
2009,CDG,Hopi Blue,35,1.6,27,0,0
2009,CDG,Hopi Blue,35,1.6,28,68,170
2009,CDG,Hopi Blue,35,1.6,29,63.9,159.75
2009,CDG,Hopi Blue,35,1.6,30,208.10000000000002,520.2500000000001
2009,CDG,Hopi Blue,35,1.6,31,6.9,17.25
2009,CDG,Hopi Blue,35,1.6,32,0,0
2009,CDG,Hopi Blue,35,1.6,33,0,0
2009,CDG,Hopi Blue,35,1.6,34,96.19999999999999,240.49999999999997
2009,CDG,Hopi Blue,35,1.6,35,0,0
2009,KUG,Hopi Sweet,62,1.7,1,0,0
2009,KUG,Hopi Sweet,62,1.7,2,0,0
2009,KUG,Hopi Sweet,62,1.7,3,0,0
2009,KUG,Hopi Sweet,62,1.7,4,0,0
2009,KUG,Hopi Sweet,62,1.7,5,0,0
2009,KUG,Hopi Sweet,62,1.7,6,0,0
2009,KUG,Hopi Sweet,62,1.7,7,0,0
